STATE,TYPE,NWSC,NCO,RRK,RPP,FDP,EMP,FP,PICES,PSIESC,SD,SL,SSV,PF,SCORE,RANK
ODISHA,Government,18,13,8,10,7,9,2,1,2,38,24,5,0,9.51,629
ANDHRA PRADESH,Government,18,8,14,9,3,6,1,0,3,15,1,10,5,9.51,630
PONDICHERRY,Government,10,9,8,7,5,5,0,1,8,34,20,5,7,9.51,631
UTTAR PRADESH,Government,16,8,8,6,3,5,0,1,6,22,5,1,7,9.51,632
TAMIL NADU,Government,13,11,16,11,1,14,1,0,6,32,9,0,6,9.49,633
MAHARASHTRA,Government,14,14,11,2,2,5,1,1,6,49,16,5,8,9.49,634
TAMIL NADU,Private,11,10,14,6,8,15,2,1,2,15,11,9,4,9.49,635
UTTAR PRADESH,Government,10,8,6,5,4,13,2,1,6,40,24,8,6,9.49,636
TAMIL NADU,Government,11,7,11,10,7,4,2,0,8,11,6,9,10,9.49,637
UTTAR PRADESH,Government,16,11,8,6,6,15,0,0,6,35,10,8,5,9.48,638
KERALA,Government,14,6,8,9,5,8,0,0,7,31,0,9,5,9.48,639
HARYANA,Government,15,3,3,9,5,3,1,0,2,40,21,4,6,9.48,640
ANDHRA PRADESH,Government,12,9,10,6,2,10,1,1,4,31,27,4,2,9.48,641
KARNATAKA,Private,15,11,9,5,5,5,2,1,6,28,13,10,3,9.48,642
CHHATTISGARH,Private,11,13,12,10,6,11,1,0,4,35,2,10,8,9.46,643
ANDHRA PRADESH,Government,12,5,5,10,8,9,2,0,4,39,6,8,6,9.46,644
MAHARASHTRA,Government,15,15,5,7,2,9,0,0,8,28,16,8,10,9.46,645
MAHARASHTRA,Private,9,9,8,7,8,3,0,0,4,20,4,6,3,9.46,646
UTTAR PRADESH,Government,8,14,8,7,2,11,2,0,7,26,18,2,1,9.46,647
MAHARASHTRA,Private,9,5,7,11,4,10,1,1,4,46,37,1,0,9.44,648
UTTAR PRADESH,Private,19,7,14,13,1,5,1,0,5,25,10,7,9,9.44,649
TELANGANA,Government,16,6,5,10,4,8,1,0,4,13,6,8,2,9.43,650
KERALA,Government,7,10,9,6,3,3,1,0,8,48,0,9,10,9.43,651
MAHARASHTRA,Government,18,11,8,12,4,9,1,1,2,9,3,10,8,9.41,652
MAHARASHTRA,Government,20,11,14,9,6,8,0,0,2,41,3,4,7,9.41,653
TAMIL NADU,Private,9,8,7,4,1,12,2,0,6,28,24,9,0,9.41,654
MAHARASHTRA,Government,15,5,5,10,1,3,0,1,8,31,19,6,0,9.41,655
ANDHRA PRADESH,Government,8,13,7,15,6,8,1,1,5,16,1,3,0,9.4,656
UTTAR PRADESH,Government,11,9,8,10,8,14,1,0,2,48,15,2,1,9.4,657
WEST BENGAL,Government,16,8,6,10,4,8,0,1,5,22,1,8,5,9.4,658
KARNATAKA,Government,10,11,13,4,5,10,2,0,7,47,4,4,10,9.4,659
CHHATTISGARH,Government,17,12,7,3,8,9,1,0,5,21,13,3,4,9.4,660
MAHARASHTRA,Government,13,8,12,11,6,6,2,1,3,29,4,0,5,9.38,661
UTTAR PRADESH,Government,12,8,16,6,2,4,1,1,4,29,17,1,3,9.38,662
TAMIL NADU,Private,5,15,10,14,1,8,1,1,3,42,26,1,7,9.38,663
KERALA,Government,10,12,11,6,4,7,0,1,5,39,14,5,9,9.37,664
UTTAR PRADESH,Government,12,9,12,11,1,16,2,1,1,36,26,2,9,9.37,665
WEST BENGAL,Government,11,8,11,6,4,5,1,1,2,35,10,0,1,9.37,666
WEST BENGAL,Private,11,11,6,11,8,12,1,0,8,23,19,3,10,9.37,667
UTTAR PRADESH,Government,12,8,5,15,3,6,2,1,3,10,9,7,2,9.35,668
MAHARASHTRA,Government,14,8,11,12,1,12,0,1,6,23,23,9,8,9.35,669
KARNATAKA,Private,17,11,11,14,3,7,1,1,1,49,16,7,8,9.35,670
TAMIL NADU,Private,6,10,3,6,7,9,1,1,5,45,24,10,10,9.33,671
UTTAR PRADESH,Government,15,6,11,11,1,11,0,0,5,42,18,3,9,9.33,672
RAJASTHAN,Private,6,10,13,11,7,7,2,1,7,28,15,6,3,9.33,673
TAMIL NADU,Government,13,12,6,7,5,7,1,0,6,39,0,10,0,9.33,674
TAMIL NADU,Government,16,7,10,11,2,9,1,0,4,18,15,10,6,9.32,675
TELANGANA,Government,20,8,12,10,5,11,1,1,8,39,16,10,1,9.32,676
ANDHRA PRADESH,Private,7,6,16,13,1,10,0,1,8,19,14,10,9,9.32,677
PUNJAB,Government,12,13,15,9,1,5,1,1,3,39,14,9,6,9.3,678
MAHARASHTRA,Government,13,10,15,8,2,10,2,1,5,2,1,8,4,9.3,679
KARNATAKA,Government,16,11,11,6,1,10,2,0,1,16,10,8,10,9.3,680
ODISHA,Private,19,14,12,4,1,11,2,0,5,31,25,5,3,9.3,681
TELANGANA,Government,14,14,12,12,2,11,2,0,8,37,20,4,3,9.29,682
ANDHRA PRADESH,Private,12,9,13,12,3,7,1,1,7,26,20,8,7,9.29,683
UTTAR PRADESH,Private,18,3,10,12,3,10,1,0,8,14,7,1,10,9.29,684
UTTAR PRADESH,Private,15,9,8,9,8,8,0,0,7,22,5,0,4,9.29,685
TAMIL NADU,Government,19,12,5,14,8,10,1,0,2,34,33,0,8,9.29,686
UTTAR PRADESH,Private,13,10,7,15,1,15,1,1,3,38,22,1,8,9.27,687
WEST BENGAL,Private,13,9,7,10,7,10,0,0,1,10,2,8,10,9.27,688
UTTAR PRADESH,Private,9,16,14,15,4,13,1,0,2,22,8,10,2,9.27,689
BIHAR,Government,18,9,8,9,3,7,1,0,6,35,2,4,1,9.27,690
WEST BENGAL,Government,15,9,12,8,1,14,1,0,2,14,12,0,4,9.27,691
DELHI,Government,16,14,8,9,5,6,0,1,5,5,3,4,3,9.25,692
TAMIL NADU,Government,13,4,7,5,6,12,2,0,5,8,1,0,9,9.25,693
MAHARASHTRA,Government,18,6,9,6,4,11,1,0,1,16,10,7,10,9.25,694
MADHYA PRADESH,Government,16,12,12,5,6,10,2,1,1,31,1,2,6,9.25,695
MAHARASHTRA,Private,14,10,3,8,8,11,2,1,8,43,14,9,0,9.25,696
TAMIL NADU,Private,13,11,11,9,3,8,1,0,5,27,13,9,9,9.25,697
UTTAR PRADESH,Government,10,3,13,4,4,8,1,0,1,16,0,8,9,9.25,698
TELANGANA,Government,11,3,11,8,7,6,1,0,4,20,10,3,3,9.25,699
TAMIL NADU,Government,10,10,9,8,7,9,1,1,3,39,14,5,1,9.25,700
TAMIL NADU,Government,10,10,9,7,5,10,1,1,8,30,3,8,1,9.24,701
MAHARASHTRA,Government,14,6,6,9,4,8,0,1,4,23,17,3,3,9.24,702
ANDHRA PRADESH,Private,16,9,10,10,1,12,1,0,1,42,30,0,7,9.24,703
TAMIL NADU,Private,12,14,12,7,1,10,0,1,4,44,27,5,0,9.22,704
HARYANA,Private,15,8,14,14,5,10,0,1,6,44,20,5,5,9.22,705
TAMIL NADU,Private,16,12,14,6,5,3,1,0,5,27,14,6,6,9.21,706
PUNJAB,Private,14,6,14,10,5,9,1,0,5,29,13,5,1,9.21,707
ANDHRA PRADESH,Government,11,7,12,7,3,12,1,1,4,35,18,9,4,9.21,708
UTTAR PRADESH,Private,19,2,7,4,4,11,1,1,8,45,1,8,6,9.21,709
CHHATTISGARH,Private,15,13,3,10,2,16,0,0,2,27,10,7,5,9.21,710
RAJASTHAN,Private,10,3,10,9,6,9,2,1,5,34,10,8,2,9.21,711
KARNATAKA,Government,10,8,8,11,7,10,0,1,2,27,15,4,0,9.21,712
ODISHA,Private,12,6,3,7,4,5,2,0,7,49,23,4,9,9.19,713
TAMIL NADU,Government,13,7,11,14,5,10,1,1,1,43,9,5,3,9.19,714
MAHARASHTRA,Government,12,9,11,13,6,7,0,1,4,47,11,2,2,9.17,715
MADHYA PRADESH,Government,10,9,13,11,7,6,1,0,7,22,21,6,9,9.17,716
ANDHRA PRADESH,Private,18,10,8,15,4,11,1,0,6,22,16,2,5,9.17,717
UTTAR PRADESH,Government,15,7,14,11,5,12,2,1,1,8,3,4,0,9.17,718
TAMIL NADU,Government,22,11,16,12,5,14,0,1,2,2,1,4,8,9.17,719
MAHARASHTRA,Private,14,10,13,14,6,4,2,1,4,42,33,5,7,9.17,720
MAHARASHTRA,Government,16,9,8,11,2,7,1,0,3,8,4,5,10,9.17,721
UTTAR PRADESH,Private,15,9,8,10,7,11,2,0,5,29,2,10,4,9.17,722
TAMIL NADU,Government,15,7,12,4,3,10,1,0,5,10,9,5,0,9.16,723
UTTAR PRADESH,Government,13,11,14,13,3,13,0,0,8,30,30,8,0,9.16,724
UTTAR PRADESH,Government,13,9,9,11,2,10,1,1,2,33,14,10,0,9.16,725
KERALA,Government,22,9,2,10,4,4,1,1,7,16,12,9,8,9.16,726
MAHARASHTRA,Government,15,15,9,12,8,8,2,0,8,40,30,10,0,9.16,727
PONDICHERRY,Private,13,7,8,8,2,8,1,0,7,3,1,6,7,9.16,728
UTTAR PRADESH,Government,13,11,10,8,6,4,2,0,7,29,29,5,4,9.14,729
GUJARAT,Government,19,8,7,5,1,8,1,1,7,35,31,1,1,9.14,730
UTTAR PRADESH,Government,13,10,9,16,5,14,0,1,7,13,12,2,1,9.14,731
ANDHRA PRADESH,Private,22,3,12,10,8,12,1,0,8,22,8,7,5,9.14,732
KARNATAKA,Private,9,7,7,8,4,9,0,0,8,35,13,2,4,9.14,733
MAHARASHTRA,Government,15,6,3,7,1,9,2,1,2,32,12,10,4,9.14,734
TAMIL NADU,Government,12,8,5,2,4,8,1,1,7,23,11,3,3,9.14,735
TAMIL NADU,Government,11,10,11,5,8,8,1,1,3,35,20,9,0,9.13,736
MADHYA PRADESH,Private,11,4,8,4,1,9,2,0,1,37,12,2,8,9.13,737
RAJASTHAN,Private,18,13,6,6,3,8,2,0,8,14,11,2,5,9.13,738
TAMIL NADU,Government,12,4,4,2,4,12,2,1,1,30,12,10,9,9.13,739
PUNJAB,Private,15,9,7,16,3,12,0,1,7,28,15,10,0,9.13,740
KERALA,Private,12,2,9,10,7,10,1,1,3,4,1,5,5,9.13,741
TAMIL NADU,Government,13,11,10,7,1,12,1,1,1,41,17,4,10,9.13,742
KERALA,Private,16,8,7,2,7,2,1,0,8,48,37,1,0,9.13,743
UTTAR PRADESH,Private,11,7,8,10,4,15,1,1,6,2,2,5,3,9.11,744
TAMIL NADU,Government,18,13,12,11,3,12,0,1,8,41,30,0,9,9.11,745
GUJARAT,Private,13,15,13,5,6,15,1,1,7,24,19,6,5,9.11,746
KARNATAKA,Government,11,13,6,10,6,11,0,1,3,17,6,7,5,9.11,747
TAMIL NADU,Government,17,2,8,6,6,10,2,1,2,30,18,0,4,9.11,748
MAHARASHTRA,Government,15,15,8,9,7,12,1,0,5,30,16,10,9,9.11,749
UTTARAKHAND,Government,15,6,11,12,3,6,2,0,8,33,7,3,5,9.11,750
MAHARASHTRA,Government,13,9,8,10,5,12,1,0,3,47,21,3,3,9.11,751
TAMIL NADU,Private,15,4,3,10,1,4,1,1,2,34,1,9,7,9.1,752
ANDHRA PRADESH,Private,14,16,7,9,4,8,1,0,7,44,39,3,7,9.1,753
WEST BENGAL,Private,14,5,4,7,6,5,0,0,6,34,26,0,1,9.1,754
PUNJAB,Government,11,12,15,7,7,10,1,0,2,14,7,10,10,9.1,755
MAHARASHTRA,Private,14,13,7,4,5,6,0,1,2,42,2,6,9,9.08,756
UTTAR PRADESH,Private,14,10,16,8,3,7,0,0,1,31,23,3,10,9.08,757
UTTAR PRADESH,Private,15,8,2,16,8,10,1,1,4,32,28,0,1,9.08,758
MAHARASHTRA,Government,13,5,11,3,5,5,1,0,6,9,1,8,3,9.08,759
MADHYA PRADESH,Government,16,7,12,6,4,13,2,1,6,24,22,0,6,9.08,760
MADHYA PRADESH,Government,17,6,6,9,3,7,0,0,4,20,11,4,1,9.08,761
TAMIL NADU,Government,12,10,8,8,3,8,2,1,7,43,5,1,10,9.06,762
ANDHRA PRADESH,Government,8,12,12,9,3,9,1,0,7,13,4,9,10,9.06,763
KERALA,Government,23,11,11,6,5,7,1,1,6,25,20,9,2,9.06,764
MAHARASHTRA,Private,6,9,11,9,6,6,0,1,7,42,32,10,0,9.06,765
ANDHRA PRADESH,Government,12,7,10,7,1,9,2,1,4,11,11,2,9,9.06,766
UTTAR PRADESH,Private,13,5,11,9,8,9,1,0,3,37,33,4,3,9.05,767
ETHIOPIA,Private,9,16,12,8,4,9,0,1,7,49,2,8,4,9.05,768
GUJARAT,Private,11,11,9,4,8,4,2,0,4,7,3,9,8,9.05,769
ANDHRA PRADESH,Private,21,12,16,9,2,13,1,0,3,22,17,0,9,9.03,770
WEST BENGAL,Government,15,8,9,7,2,4,1,1,4,13,12,6,9,9.03,771
LAKSHADWEEP,Government,20,9,8,8,2,8,2,1,6,29,15,0,9,9.03,772
TAMIL NADU,Government,11,9,8,14,1,14,1,0,7,46,30,5,1,9.03,773
UTTAR PRADESH,Government,8,6,12,13,2,8,2,0,7,7,3,8,8,9.03,774
BIHAR,Government,14,11,2,8,7,9,0,1,3,14,10,8,9,9.03,775
BIHAR,Government,14,8,8,10,7,12,1,1,3,40,33,0,9,9.02,776
UTTAR PRADESH,Government,15,15,11,13,8,8,2,0,4,50,5,8,10,9.02,777
MANIPUR,Private,15,12,5,6,6,8,1,0,1,13,4,3,10,9.02,778
TAMIL NADU,Government,14,12,11,7,8,8,1,1,6,7,5,8,4,9.02,779
TELANGANA,Government,4,7,5,6,2,12,1,1,6,9,0,8,9,9.0,780
TAMIL NADU,Government,17,15,8,14,5,10,0,1,8,15,12,4,9,9.0,781
MAHARASHTRA,Private,12,6,11,11,4,10,1,0,4,46,19,5,2,9.0,782
UTTAR PRADESH,Government,15,4,10,12,2,7,1,0,3,16,3,6,0,9.0,783
RAJASTHAN,Government,16,3,7,9,2,9,0,1,8,19,14,7,7,9.0,784
MAHARASHTRA,Government,16,7,3,5,7,7,1,0,8,31,29,7,4,9.0,785
MAHARASHTRA,Government,18,6,8,3,2,9,1,0,2,24,23,5,4,9.0,786
TAMIL NADU,Government,17,12,11,6,6,13,1,0,7,34,13,9,6,8.98,787
TAMIL NADU,Government,14,11,11,12,7,16,0,0,7,23,19,10,6,8.98,788
MADHYA PRADESH,Government,10,15,12,10,5,11,0,0,1,23,19,1,2,8.98,789
KARNATAKA,Government,17,13,5,8,5,9,1,0,5,3,1,9,9,8.97,790
WEST BENGAL,Government,16,9,9,6,2,10,1,0,1,42,21,9,1,8.97,791
UTTAR PRADESH,Government,11,11,8,10,3,14,2,0,2,21,2,8,3,8.97,792
WEST BENGAL,Private,19,13,6,11,8,9,1,0,8,16,0,8,8,8.97,793
TAMIL NADU,Government,18,14,13,15,4,12,1,1,4,34,11,1,4,8.97,794
TAMIL NADU,Private,16,10,7,8,3,10,1,1,6,45,14,0,8,8.97,795
ANDHRA PRADESH,Private,12,10,9,9,1,9,1,0,5,32,3,7,8,8.97,796
TAMIL NADU,Private,16,7,8,9,1,7,1,1,6,34,8,5,10,8.97,797
KARNATAKA,Government,17,7,2,10,4,9,1,0,7,18,7,6,10,8.97,798
TELANGANA,Government,16,12,6,7,3,5,2,0,6,21,3,6,2,8.97,799
MAHARASHTRA,Government,19,6,6,9,3,12,2,0,4,15,12,2,3,8.97,800
ANDHRA PRADESH,Government,13,7,6,6,5,7,1,0,6,19,16,4,3,8.95,801
GUJARAT,Government,18,9,6,11,1,12,1,0,7,14,9,9,8,8.95,802
TAMIL NADU,Government,22,8,4,8,1,14,1,0,1,40,12,6,6,8.95,803
MAHARASHTRA,Private,21,5,6,8,7,5,1,1,6,35,24,8,0,8.95,804
UTTAR PRADESH,Government,10,15,4,7,1,6,0,0,1,41,36,9,1,8.95,805
UTTARAKHAND,Government,7,14,6,8,4,14,2,0,1,33,3,4,4,8.95,806
TAMIL NADU,Government,15,13,8,3,5,10,1,1,7,22,21,5,0,8.95,807
KARNATAKA,Government,10,13,11,9,3,4,0,0,4,13,11,2,3,8.94,808
GUJARAT,Government,10,9,7,12,3,13,1,1,5,38,30,6,8,8.94,809
WEST BENGAL,Government,12,15,11,8,1,10,0,0,6,31,22,6,4,8.94,810
MAHARASHTRA,Government,7,6,9,8,3,12,0,0,5,28,16,10,3,8.94,811
TAMIL NADU,Government,15,14,10,4,3,12,1,1,3,45,9,9,8,8.94,812
TAMIL NADU,Private,15,9,5,5,7,13,2,0,6,49,1,6,8,8.94,813
RAJASTHAN,Private,15,12,8,11,5,8,0,0,1,36,12,6,0,8.94,814
TAMIL NADU,Private,11,10,9,11,3,9,1,1,6,37,7,0,2,8.94,815
KARNATAKA,Government,19,8,12,10,3,9,0,1,6,42,30,3,5,8.92,816
UTTAR PRADESH,Government,9,6,4,10,3,9,1,1,3,19,16,0,7,8.92,817
MAHARASHTRA,Government,13,8,13,7,1,10,2,0,3,38,19,3,9,8.9,818
TAMIL NADU,Private,13,8,15,9,2,6,0,0,2,47,24,4,6,8.9,819
ANDHRA PRADESH,Government,13,10,8,11,4,11,1,1,3,26,3,10,8,8.9,820
ANDHRA PRADESH,Private,16,12,13,4,4,10,0,1,8,36,24,8,1,8.9,821
MAHARASHTRA,Government,14,2,11,4,7,3,0,1,7,42,14,3,9,8.9,822
TAMIL NADU,Government,11,4,16,10,3,8,2,1,7,18,17,7,3,8.9,823
ANDHRA PRADESH,Private,9,14,9,11,2,14,1,0,4,29,23,6,5,8.9,824
TAMIL NADU,Government,10,11,3,13,2,5,2,1,5,10,7,5,5,8.9,825
TAMIL NADU,Government,11,8,15,10,8,10,0,1,6,39,36,0,3,8.89,826
TAMIL NADU,Private,15,5,7,9,7,8,1,0,8,38,9,8,0,8.89,827
KARNATAKA,Private,19,11,13,15,4,9,0,0,4,24,23,2,1,8.89,828
MAHARASHTRA,Government,14,4,6,8,8,10,1,0,2,38,33,5,5,8.89,829
TAMIL NADU,Government,10,4,8,7,4,9,2,1,3,48,3,1,6,8.89,830
UTTAR PRADESH,Private,14,10,12,14,4,7,1,0,7,21,8,5,1,8.89,831
MAHARASHTRA,Private,10,10,7,7,1,6,0,1,6,11,3,7,10,8.89,832
TELANGANA,Government,22,6,5,9,1,12,2,0,2,26,16,9,2,8.89,833
UTTAR PRADESH,Government,16,6,11,8,5,13,2,1,8,17,13,0,3,8.89,834
UTTAR PRADESH,Private,22,14,8,9,6,10,2,1,6,38,31,2,6,8.89,835
UTTAR PRADESH,Government,12,2,9,14,7,4,0,1,2,44,4,0,0,8.87,836
UTTARAKHAND,Government,14,9,8,10,6,11,1,0,2,19,11,10,3,8.87,837
UTTAR PRADESH,Private,8,10,11,12,8,10,2,0,8,32,24,4,1,8.87,838
TELANGANA,Government,15,12,5,14,4,10,1,0,8,8,6,8,7,8.87,839
HARYANA,Government,8,14,6,10,2,9,0,0,4,20,18,1,8,8.87,840
MAHARASHTRA,Government,14,7,5,4,7,11,1,1,7,40,31,2,10,8.87,841
UTTAR PRADESH,Government,12,12,10,8,6,12,1,0,4,13,6,6,1,8.87,842
WEST BENGAL,Government,13,10,12,13,1,13,1,1,2,34,15,9,10,8.86,843
GUJARAT,Government,12,10,8,13,8,9,0,0,8,5,1,4,9,8.86,844
MAHARASHTRA,Government,20,7,6,11,7,2,0,1,5,1,0,6,10,8.86,845
TAMIL NADU,Government,12,14,9,7,6,11,2,1,6,42,8,9,1,8.86,846
MAHARASHTRA,Government,19,12,12,10,2,5,1,0,3,20,3,4,1,8.86,847
KARNATAKA,Government,11,15,12,12,3,10,1,0,6,45,21,0,9,8.86,848
TAMIL NADU,Private,11,6,10,13,1,14,0,1,4,22,16,0,7,8.84,849
TAMIL NADU,Government,21,5,4,7,3,10,1,0,8,2,2,1,9,8.84,850
MAHARASHTRA,Government,4,13,13,4,6,7,1,1,8,5,5,2,6,8.84,851
TELANGANA,Government,14,4,9,6,3,9,1,0,8,28,23,5,2,8.84,852
GUJARAT,Private,15,4,6,12,6,7,1,1,1,39,27,9,3,8.84,853
MAHARASHTRA,Government,5,11,6,5,8,7,1,1,3,48,28,3,3,8.84,854
ANDHRA PRADESH,Government,18,4,10,5,1,12,1,0,5,45,21,0,2,8.84,855
MAHARASHTRA,Private,20,6,16,4,6,8,1,0,2,32,7,8,10,8.84,856
MAHARASHTRA,Private,11,9,4,13,5,4,1,1,3,25,24,4,4,8.84,857
RAJASTHAN,Private,8,10,13,5,7,12,2,0,1,8,7,1,6,8.84,858
KARNATAKA,Government,10,15,10,9,5,8,1,1,4,29,19,7,10,8.84,859
UTTAR PRADESH,Government,19,2,13,11,3,5,1,0,4,6,3,7,7,8.83,860
ANDHRA PRADESH,Private,9,10,6,9,6,9,1,0,2,13,2,7,9,8.83,861
TAMIL NADU,Private,16,8,13,13,8,8,1,1,4,2,0,6,3,8.83,862
TAMIL NADU,Government,9,9,13,9,2,9,2,1,2,25,9,2,9,8.83,863
ANDHRA PRADESH,Government,11,9,12,13,4,2,1,1,5,10,4,2,3,8.83,864
CHHATTISGARH,Private,11,12,8,15,7,10,0,0,7,22,11,7,6,8.83,865
MAHARASHTRA,Government,10,9,9,7,5,16,0,1,8,44,9,4,8,8.83,866
MAHARASHTRA,Private,17,10,9,7,4,9,2,1,5,3,3,9,7,8.81,867
TAMIL NADU,Government,5,11,8,9,7,9,1,0,1,6,2,9,6,8.81,868
UTTAR PRADESH,Government,5,11,11,8,5,11,1,0,5,29,9,6,3,8.81,869
KERALA,Government,19,4,10,7,7,2,1,0,1,17,17,9,1,8.81,870
MAHARASHTRA,Government,19,10,8,7,4,10,1,1,3,8,0,8,0,8.81,871
TAMIL NADU,Private,15,4,14,9,3,7,2,0,6,10,3,9,3,8.81,872
MAHARASHTRA,Government,15,6,11,9,4,9,0,1,6,7,2,3,9,8.81,873
MAHARASHTRA,Government,11,4,10,7,4,14,1,0,2,10,1,10,0,8.81,874
ODISHA,Government,11,9,10,6,5,8,2,1,1,31,23,5,8,8.81,875
TAMIL NADU,Government,14,4,9,14,7,4,2,0,7,46,18,5,8,8.81,876
ANDHRA PRADESH,Government,15,7,8,10,3,10,2,1,3,46,8,10,4,8.79,877
MAHARASHTRA,Government,19,11,5,10,1,5,2,0,6,21,8,9,10,8.79,878
WEST BENGAL,Government,13,12,6,3,4,7,1,1,7,13,10,2,4,8.79,879
KERALA,Government,8,10,13,15,2,2,2,1,4,25,11,2,8,8.79,880
KARNATAKA,Government,22,6,12,14,6,8,2,0,3,9,2,10,9,8.79,881
KERALA,Government,7,9,11,15,4,10,1,0,5,5,1,3,6,8.79,882
KARNATAKA,Government,10,6,14,5,8,7,1,0,6,3,2,6,9,8.79,883
MAHARASHTRA,Private,17,8,14,8,5,15,0,0,3,27,9,6,8,8.79,884
TAMIL NADU,Government,19,10,6,9,1,8,2,1,4,35,9,10,8,8.78,885
KERALA,Government,10,9,16,14,7,10,1,0,5,17,0,7,0,8.78,886
MAHARASHTRA,Government,14,10,4,7,4,8,2,0,8,27,15,6,8,8.78,887
MADHYA PRADESH,Private,12,12,8,2,6,15,0,0,3,5,3,0,4,8.78,888
ANDHRA PRADESH,Private,18,7,9,7,7,9,1,1,3,49,5,3,5,8.78,889
MAHARASHTRA,Government,13,11,10,9,8,5,1,1,5,14,7,8,0,8.78,890
MAHARASHTRA,Private,12,10,7,5,2,6,2,0,3,22,16,1,1,8.78,891
TELANGANA,Government,17,11,12,11,2,10,1,1,5,6,1,2,1,8.78,892
MAHARASHTRA,Private,9,7,14,11,2,4,0,0,1,36,10,9,9,8.76,893
UTTAR PRADESH,Government,17,11,9,7,3,11,2,1,4,48,5,3,2,8.76,894
UTTAR PRADESH,Private,10,8,6,3,3,3,2,0,8,44,3,3,8,8.76,895
KERALA,Government,13,9,12,13,1,15,0,1,4,16,2,8,1,8.76,896
TAMIL NADU,Government,16,9,10,9,3,13,0,0,7,13,12,1,2,8.76,897
MAHARASHTRA,Government,12,6,11,10,3,15,1,1,7,1,1,0,1,8.76,898
MAHARASHTRA,Government,11,6,13,12,7,2,1,1,2,8,7,0,5,8.76,899
UTTAR PRADESH,Government,14,10,14,6,5,6,2,1,5,1,0,3,2,8.75,900
GOA,Private,17,9,7,3,3,10,1,1,7,29,19,6,2,8.75,901
UTTAR PRADESH,Government,13,9,13,13,4,6,1,0,7,47,40,1,9,8.75,902
ANDHRA PRADESH,Government,16,11,11,7,2,3,0,0,7,46,7,9,1,8.75,903
KERALA,Government,19,3,12,5,1,3,1,1,8,41,33,8,5,8.75,904
KERALA,Government,3,7,9,9,7,4,0,1,1,33,9,2,10,8.75,905
KARNATAKA,Government,17,9,12,4,8,6,0,0,2,23,8,2,3,8.73,906
MAHARASHTRA,Private,12,9,7,9,8,15,2,0,3,34,14,2,1,8.73,907
TAMIL NADU,Government,12,7,6,9,6,12,2,1,4,5,5,7,6,8.73,908
KERALA,Private,16,16,10,9,2,9,0,0,6,2,2,9,10,8.73,909
ANDHRA PRADESH,Private,6,5,14,10,7,6,2,0,7,28,22,5,2,8.73,910
ANDHRA PRADESH,Government,11,9,8,12,7,9,0,1,2,35,6,10,4,8.73,911
ANDHRA PRADESH,Government,9,8,10,7,7,7,2,1,8,39,13,6,2,8.71,912
TAMIL NADU,Government,11,5,9,5,4,8,1,0,8,7,1,6,10,8.71,913
TAMIL NADU,Private,9,13,10,13,8,5,1,0,8,36,19,2,1,8.71,914
PUNJAB,Government,8,6,6,10,3,11,2,1,3,44,9,6,9,8.71,915
MAHARASHTRA,Government,13,8,6,6,8,9,1,0,8,39,7,7,4,8.71,916
MAHARASHTRA,Government,15,10,9,13,3,10,2,1,6,31,29,10,7,8.71,917
CHHATTISGARH,Government,17,9,13,8,7,3,1,1,2,16,15,0,8,8.71,918
TELANGANA,Private,13,11,11,12,8,11,1,0,1,34,7,7,7,8.7,919
TAMIL NADU,Private,9,14,2,6,1,14,2,0,8,36,34,1,0,8.7,920
RAJASTHAN,Government,17,6,12,5,5,7,1,0,7,45,32,3,6,8.7,921
TAMIL NADU,Government,17,6,7,8,4,5,1,0,2,17,8,10,4,8.7,922
TAMIL NADU,Private,9,13,5,7,6,5,2,1,7,23,15,7,7,8.7,923
UTTAR PRADESH,Private,15,12,8,4,3,8,1,1,6,50,26,0,4,8.7,924
MAHARASHTRA,Government,12,9,5,12,4,4,1,1,7,16,5,9,2,8.7,925
HARYANA,Government,13,5,8,10,4,16,1,1,8,30,6,8,3,8.7,926
MAHARASHTRA,Private,13,11,5,8,5,8,1,0,5,17,0,9,4,8.7,927
MADHYA PRADESH,Government,19,15,15,9,1,8,1,0,1,32,23,3,2,8.68,928
JHARKHAND,Government,19,6,5,3,2,10,2,1,6,3,2,7,6,8.68,929
TAMIL NADU,Private,12,11,13,10,2,9,1,1,2,31,25,2,0,8.68,930
TAMIL NADU,Government,18,9,11,9,7,10,1,1,3,20,8,5,9,8.68,931
WEST BENGAL,Private,14,9,7,10,6,7,1,1,7,30,22,5,8,8.68,932
UTTAR PRADESH,Private,15,12,5,10,2,10,2,1,7,33,30,1,8,8.67,933
JAMMU AND KASHMIR,Government,16,9,9,11,8,9,1,0,5,45,22,9,6,8.67,934
MAHARASHTRA,Government,14,5,6,9,1,13,2,0,1,1,1,4,8,8.67,935
MAHARASHTRA,Government,21,4,13,8,7,11,0,0,3,21,9,6,8,8.67,936
TAMIL NADU,Government,13,6,13,6,1,13,1,0,7,28,21,8,5,8.67,937
ANDHRA PRADESH,Private,9,9,7,10,8,3,1,1,6,11,2,1,10,8.65,938
TAMIL NADU,Government,10,8,6,12,6,14,2,0,5,4,0,5,10,8.65,939
MAHARASHTRA,Government,4,12,4,3,5,10,1,1,5,18,9,4,7,8.65,940
UTTAR PRADESH,Private,10,13,2,10,8,10,1,1,5,46,1,5,6,8.65,941
MADHYA PRADESH,Government,15,7,9,6,3,12,1,1,7,7,7,4,10,8.65,942
